;Score;Kills;Deaths;K/D;Damage;Headshots;Dominations;Shots Fired;Shots Hit;Shots Accuracy;Snipers Killed;Domination Overkills;Domination Revenges;Bombs Planted;Bombs Defused;Money Earned;Hostages Rescued;MVP;Wins;Ties;Matches Played;Losses;Rounds Played;Rounds Won;Win %;Headshot %
0;90825.0;64010.0;43415.0;1.47;5469199.0;30791.0;159.0;445411.0;92913.0;20.9;2239.0;301.0;51.0;1215.0;494.0;120178269.0;501.0;9954.0;12583.0;5412.0;25228.0;12645.0;33252.0;12583.0;49.9;48.1
1;37177.0;23354.0;16610.0;1.41;12424189.0;5104.0;2956.0;2156088.0;1385405.0;64.3;51307.0;4501.0;2730.0;5511.0;4118.0;121303156.0;807.0;1626.0;6675.0;4526.0;11486.0;4811.0;940768.0;6675.0;58.1;21.9
2;175099.0;377607.0;340137.0;1.11;11308366.0;66327.0;218.0;1022660.0;591692.0;57.9;6441.0;399.0;45.0;18674.0;13132.0;204974250.0;531.0;46023.0;9038.0;2302.0;24565.0;15527.0;66608.0;9038.0;36.8;17.6
3;20899.0;206371.0;16340.0;12.63;8809755.0;13478.0;34534577.0;216841.0;98468.0;45.4;3454196.0;8695.0;6143.0;2145533.0;631289.0;81229991.0;93455.0;2180.0;274.0;2143.0;565.0;291.0;11783.0;274.0;48.5;6.5
4;54966.0;18610.0;27416.0;0.68;2430503.0;5269.0;2141.0;294100.0;73146.0;24.9;4362.0;2146.0;2145.0;2200.0;2176.0;97599397.0;2138.0;3346.0;2251.0;2137.0;2452.0;201.0;24016.0;2251.0;91.8;28.3
5;127750.0;261238.0;254716.0;1.03;35617933.0;162850.0;967.0;3971498.0;804937.0;20.3;7383.0;1117.0;360.0;8289.0;2006.0;429542028.0;521.0;23131.0;11472.0;2104.0;14298.0;2826.0;169842.0;11472.0;80.2;62.3
6;61509.0;319024.0;216795.0;1.47;52797508.0;175895.0;3037.0;4431203.0;2633744.0;59.4;3494.0;1272.0;688.0;3119.0;3048.0;135254925.0;746.0;14583.0;11471.0;2018.0;22420.0;10949.0;44082.0;11471.0;51.2;55.1
7;54648.0;57721.0;22386.0;2.58;3606556.0;16042.0;697.0;407031.0;172525.0;42.4;9658.0;6826.0;6801.0;1671.0;467.0;83152684.0;1901.0;3925.0;2024.0;1900.0;3060.0;1036.0;33295.0;2024.0;66.1;27.8
8;6025.0;204131.0;161854.0;1.26;28809585.0;77621.0;387.0;2926723.0;603852.0;20.6;11985.0;570.0;80.0;12867.0;2542.0;442611337.0;508.0;28757.0;3688.0;1674.0;7459.0;3771.0;182367.0;3688.0;49.4;38.0
9;13454.0;205630.0;162615.0;1.26;29062896.0;78616.0;430.0;2941857.0;608754.0;20.7;12130.0;669.0;82.0;12913.0;2558.0;445035287.0;507.0;28991.0;3732.0;1674.0;7529.0;3797.0;183132.0;3732.0;49.6;38.2
10;90825.0;64010.0;43415.0;1.47;5469199.0;30791.0;159.0;445411.0;92913.0;20.9;2239.0;301.0;51.0;1215.0;494.0;120178269.0;501.0;9954.0;12583.0;5412.0;25228.0;12645.0;33252.0;12583.0;49.9;48.1
11;37177.0;23354.0;16610.0;1.41;12424189.0;5104.0;2956.0;2156088.0;1385405.0;64.3;51307.0;4501.0;2730.0;5511.0;4118.0;121303156.0;807.0;1626.0;6675.0;4526.0;11486.0;4811.0;940768.0;6675.0;58.1;21.9
12;175099.0;377607.0;340137.0;1.11;11308366.0;66327.0;218.0;1022660.0;591692.0;57.9;6441.0;399.0;45.0;18674.0;13132.0;204974250.0;531.0;46023.0;9038.0;2302.0;24565.0;15527.0;66608.0;9038.0;36.8;17.6
13;20899.0;206371.0;16340.0;12.63;8809755.0;13478.0;34534577.0;216841.0;98468.0;45.4;3454196.0;8695.0;6143.0;2145533.0;631289.0;81229991.0;93455.0;2180.0;274.0;2143.0;565.0;291.0;11783.0;274.0;48.5;6.5
14;54966.0;18610.0;27416.0;0.68;2430503.0;5269.0;2141.0;294100.0;73146.0;24.9;4362.0;2146.0;2145.0;2200.0;2176.0;97599397.0;2138.0;3346.0;2251.0;2137.0;2452.0;201.0;24016.0;2251.0;91.8;28.3
15;61509.0;319024.0;216795.0;1.47;52797508.0;175895.0;3037.0;4431203.0;2633744.0;59.4;3494.0;1272.0;688.0;3119.0;3048.0;135254925.0;746.0;14583.0;11471.0;2018.0;22420.0;10949.0;44082.0;11471.0;51.2;55.1
16;54648.0;57721.0;22386.0;2.58;3606556.0;16042.0;697.0;407031.0;172525.0;42.4;9658.0;6826.0;6801.0;1671.0;467.0;83152684.0;1901.0;3925.0;2024.0;1900.0;3060.0;1036.0;33295.0;2024.0;66.1;27.8
17;6025.0;204131.0;161854.0;1.26;28809585.0;77621.0;387.0;2926723.0;603852.0;20.6;11985.0;570.0;80.0;12867.0;2542.0;442611337.0;508.0;28757.0;3688.0;1674.0;7459.0;3771.0;182367.0;3688.0;49.4;38.0
18;13454.0;205630.0;162615.0;1.26;29062896.0;78616.0;430.0;2941857.0;608754.0;20.7;12130.0;669.0;82.0;12913.0;2558.0;445035287.0;507.0;28991.0;3732.0;1674.0;7529.0;3797.0;183132.0;3732.0;49.6;38.2
19;563691.0;118699.0;157634.0;0.75;14745014.0;62788.0;3149.0;1606184.0;318631.0;19.8;7375.0;4017.0;882.0;2803.0;747.0;118727950.0;109.0;6961.0;4688.0;1000.0;13524.0;8836.0;51063.0;4688.0;34.7;52.9
20;97366.0;33606.0;32281.0;1.04;4489927.0;9327.0;1163.0;585717.0;101698.0;17.4;2598.0;1162.0;998.0;2625.0;1134.0;118889926.0;905.0;3621.0;1613.0;900.0;2381.0;768.0;33266.0;1613.0;67.7;27.8
21;861335.0;451650.0;333310.0;1.36;61075839.0;241885.0;156.0;5516466.0;1340013.0;24.3;24328.0;257.0;84.0;16593.0;5555.0;780799064.0;516.0;46833.0;5528.0;452.0;10867.0;5339.0;342603.0;5528.0;50.9;53.6
22;34567.0;131579.0;11238.0;11.71;2428092.0;6631.0;85.0;191463.0;50850.0;26.6;1144.0;239.0;139.0;243.0;129.0;60794950.0;523.0;2678.0;262.0;421.0;715.0;453.0;10256.0;262.0;36.6;5.0
23;460032.0;201070.0;163908.0;1.23;27055265.0;126493.0;821.0;3112651.0;662656.0;21.3;5696.0;2758.0;30.0;2709.0;858.0;255471212.0;10.0;12264.0;1460.0;415.0;2629.0;1169.0;87830.0;1460.0;55.5;62.9
24;34679.0;103256.0;78724.0;1.31;8839356.0;54396.0;149.0;1114104.0;322752.0;29.0;13359.0;151.0;147.0;4107.0;1162.0;191897450.0;527.0;9099.0;6916.0;359.0;11353.0;4437.0;65899.0;6916.0;60.9;52.7
25;78804.0;85052.0;43553.0;1.95;4907191.0;39634.0;75.0;459209.0;203081.0;44.2;2268.0;60.0;2383.0;2213.0;942.0;111430900.0;514.0;4166.0;2866.0;358.0;3623.0;757.0;26357.0;2866.0;79.1;46.6
26;123483767.0;58895.0;117346.0;0.5;8716267.0;25966.0;565.0;1826253.0;585361.0;32.1;11726.0;1986.0;32.0;1326.0;708.0;155288750.0;0.0;20335.0;2097.0;342.0;6021.0;3924.0;121363.0;2097.0;34.8;44.1
27;115372.0;258737.0;195047.0;1.33;36583368.0;158186.0;455.0;3299806.0;652119.0;19.8;12972.0;733.0;463.0;7378.0;3060.0;444915070.0;500.0;22522.0;3514.0;321.0;5498.0;1984.0;159773.0;3514.0;63.9;61.1
28;533366.0;45207.0;22399.0;2.02;7808406.0;17118.0;126.0;422655.0;84313.0;19.9;6899.0;176.0;37.0;1948.0;925.0;548621750.0;5000.0;8103.0;3575.0;300.0;6346.0;2771.0;24290.0;3575.0;56.3;37.9
29;115964.0;117776.0;104981.0;1.12;9150656.0;53074.0;1111.0;1868647.0;388001.0;20.8;6981.0;906.0;172.0;3029.0;1516.0;297277900.0;3.0;15026.0;1936.0;265.0;3942.0;2006.0;104491.0;1936.0;49.1;45.1
30;117486.0;65614.0;118528.0;0.55;13210226.0;33154.0;12913.0;124125315.0;95996627.0;77.3;10939.0;2370.0;131.0;645.0;451.0;57196975.0;2496.0;4713.0;17158.0;254.0;21500.0;4342.0;76905.0;17158.0;79.8;50.5
31;405294.0;99297.0;41567.0;2.39;15011856.0;37801.0;1423.0;1397436.0;319957.0;22.9;6907.0;1654.0;2421.0;1764.0;657.0;23676708.0;98.0;6145.0;1554.0;241.0;3365.0;1811.0;56534.0;1554.0;46.2;38.1
32;87236.0;42127.0;29748.0;1.42;5320172.0;22318.0;465.0;521319.0;119358.0;22.9;2152.0;1163.0;72.0;1484.0;460.0;104517802.0;1337.0;4441.0;896.0;232.0;1741.0;845.0;26352.0;896.0;51.5;53.0
33;438557.0;220171.0;168843.0;1.3;4947042.0;73444.0;721.0;2367531.0;515227.0;21.8;10876.0;1420.0;81.0;6862.0;1595.0;92512145.0;501.0;13984.0;2275.0;231.0;4166.0;1891.0;135176.0;2275.0;54.6;33.4
34;135103.0;57012.0;30588.0;1.86;9984306.0;35746.0;295.0;745595.0;387912.0;52.0;3785.0;319.0;91.0;1340.0;486.0;133406974.0;100.0;67720.0;3238.0;220.0;4338.0;1100.0;34310.0;3238.0;74.6;62.7
35;104913.0;206077.0;166968.0;1.23;9924339.0;92310.0;451.0;3115289.0;648107.0;20.8;8638.0;585.0;333.0;3955.0;1599.0;183722068.0;2.0;16914.0;2530.0;190.0;4477.0;1947.0;143674.0;2530.0;56.5;44.8
